*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
967,SRC Pop Riverts 3/16 X 3/4 (500 Pcs),3G50-17,16-Mar,"Rs.3,350.00",267,0,"Rs.1,185,900.00"
968,SRC Pop Riverts 3/16 X 1 (400 Pcs),3G50-18,16-Mar,"Rs.3,600.00",316,0,"Rs.1,234,800.00"
969,Magnetic Nut Socket 8 mm,3G51-01,8,Rs.340.00,46,0,"Rs.14,620.00"
970,Magnetic Nut Socket 10 mm,3G51-02,10,Rs.380.00,123,0,"Rs.46,740.00"
971,Magnetic Nut Socket 11 mm,3G51-03,11,Rs.578.00,53,0,"Rs.30,634.00"
972,Magnetic Nut Socket 12 mm,3G51-04,12,Rs.604.00,11,0,"Rs.7,248.00"
973,Cup Hooks 3/4 Inch,3G52-01,04-Mar,Rs.515.00,31,0,"Rs.20,600.00"
974,Cup Hooks 1 Inch,3G52-02,1,Rs.650.00,1,0,Rs.0.00
975,Cup Hooks 1 1/4 Inch,3G52-03,1 1/4,Rs.392.00,0,0,Rs.0.00
976,Cup Hooks 1 1/2 Inch,3G52-04,1 1/2,"Rs.1,300.00",29,0,"Rs.58,500.00"
977,Cup Hooks 2 Inch,3G52-05,2,"Rs.1,890.00",13,0,"Rs.49,140.00"
978,Hose Clip 1/2 Inch,3G53-01,02-Jan,Rs.14.00,8596,250,"Rs.120,050.00"
979,Hose Clip 5/8 Inch,3G53-02,08-May,Rs.13.60,13000,300,"Rs.179,506.40"
980,Hose Clip 3/4 Inch,3G53-03,04-Mar,Rs.14.00,13427,105,"Rs.186,760.00"
981,Hose Clip 1 Inch,3G53-04,1,Rs.15.00,8572,55,"Rs.131,505.00"
982,Hose Clip 1 1/4 Inch,3G53-05,1 1/4,Rs.19.00,12309,25,"Rs.245,195.00"
983,Hose Clip 1 1/2 Inch,3G53-06,1 1/2,Rs.23.00,9947,45,"Rs.229,655.00"
984,Hose Clip 2 Inch,3G53-07,2,Rs.38.00,3971,25,"Rs.151,050.00"
985,Hose Clip 3 Inch,3G53-08,3,Rs.45.00,1438,120,"Rs.64,485.00"
986,Hose Clip 4 Inch,3G53-09,4,Rs.49.00,1845,15,"Rs.88,935.00"
987,Hose Clip With Handel 5/8 Inch,3G53-10,08-May,Rs.23.00,8281,100,"Rs.190,325.00"
988,Hose Clip With Handel 3/4 Inch,3G53-11,04-Mar,Rs.23.00,7678,0,"Rs.176,663.00"
989,Pipe Clip (Gi) 1/2 Inch,3G54-01,02-Jan,Rs.8.75,8350,650,"Rs.72,187.50"
990,Pipe Clip (Gi) 3/4 Inch,3G54-02,04-Mar,Rs.12.00,7700,100,"Rs.93,000.00"
991,Pipe Clip (Gi) 1 Inch,3G54-03,1,Rs.15.00,8900,150,"Rs.133,125.00"
992,Pipe Clip (Gi) 1 1/2 Inch,3G54-04,1 1/2,Rs.26.00,3525,200,"Rs.83,850.00"
993,Pantry Magnet (White) Large,3G55-01,0,Rs.40.00,450,0,Rs.0.00
994,Pantry Magnet (Brown) Large,3G55-02,0,Rs.20.00,0,0,Rs.0.00
995,Pantry Magnet Small,3G55-03,0,Rs.25.00,0,0,Rs.0.00
996,Mouse Box (Courted),3G56-01,0,Rs.271.00,0,0,Rs.0.00
997,Mouse Box (Normal),3G56-02,0,Rs.404.00,0,0,Rs.0.00
998,Mouse Box Made In China (Small),3G56-03,0,Rs.457.00,0,0,Rs.0.00
999,Mouse Box Made In China (Large),3G56-04,0,Rs.485.00,161,75,"Rs.87,785.00"
1000,Curtain Runners (1000 Pcs),3G57-01,0,"Rs.2,850.00",103,2,"Rs.299,250.00"
1001,Tap Connecter (Imported) 1/2 Inch,3G58-01,02-Jan,Rs.50.00,0,0,Rs.0.00
1002,Tap Connecter (Made In Sri Lanka) 1/2 Inch,3G58-02,02-Jan,Rs.28.00,2767,158,"Rs.75,544.00"
1003,Key Cylinder 3 Key (Small),3G59-01,0,Rs.895.00,0,0,Rs.0.00
1004,Key Cylinder 5 Key (Computer Key),3G59-02,0,Rs.995.00,0,0,Rs.0.00
1005,Portable Scale 50 Kg (Grade A),3G60-01,0,Rs.730.00,1869,38,"Rs.1,359,990.00"
1006,Portable Scale 50 Kg,3G60-02,0,Rs.914.00,2,0,Rs.0.00
1007,Family Scale 5 Kg,3G60-03,0,Rs.934.00,0,0,Rs.0.00
1008,Electric Scale 10 Kg,3G60-04,0,Rs.810.00,388,1,"Rs.304,560.00"
1009,Well Pully 160 mm,3G61-01,78,"Rs.1,100.00",76,2,"Rs.83,600.00"
1010,Well Pully 120 mm,3G61-02,70,Rs.740.00,120,2,"Rs.88,800.00"
1011,Well Pully 140 mm,3G61-03,75,Rs.885.00,77,2,"Rs.69,030.00"
1012,Dog Chain (Lead) 5 mm,3G62-01,5,Rs.325.00,1360,36,"Rs.492,700.00"
1013,Dog Chain (Lead) 4 mm,3G62-02,4,Rs.260.00,1764,24,"Rs.471,120.00"
1014,Dog Chain (Lead) 6 mm,3G62-03,6,Rs.425.00,330,36,"Rs.142,800.00"
1015,Dog Chain 20 mm,3G62-04,20,Rs.190.00,2412,36,"Rs.472,340.00"
1016,Dog Chain 25 mm,3G62-05,25,Rs.225.00,2964,24,"Rs.675,450.00"
1017,Dog Chain 30 mm,3G62-06,30,Rs.270.00,1392,0,"Rs.386,100.00"
1018,Dog Chain 35 mm,3G62-07,35,Rs.315.00,1320,12,"Rs.404,460.00"
1019,Gutter Chain - Sri Lanka (Dark Brown),3G63-01,0,Rs.220.00,0,0,Rs.0.00
1020,Gutter Chain - Sri Lanka (Green),3G63-02,0,Rs.220.00,0,12,"Rs.2,640.00"
1021,Gutter Chain - Sri Lanka (Maroon),3G63-03,0,Rs.220.00,587,350,"Rs.193,160.00"
1022,Door Stoper (Classic),3G64-01,0,Rs.430.00,296,0,"Rs.138,030.00"
1023,Soldering Iron (Bouth) H/Q 60W,3G65-01,0,Rs.530.00,0,5,"Rs.2,650.00"
1024,Booster Cable 2000 A,3G66-01,0,"Rs.2,100.00",116,0,"Rs.245,700.00"
1025,Booster Cable 3000 A,3G66-02,0,"Rs.2,850.00",135,0,"Rs.390,450.00"
1026,Booster Cable 1000 A,3G66-03,0,"Rs.1,840.00",164,0,"Rs.303,600.00"
1027,Water Seal(10mm),3G67-01,10,Rs.130.00,0,0,Rs.0.00
1028,Water Seal (12mm),3G67-02,12,Rs.284.00,0,0,Rs.0.00
1029,Water Seal (13mm),3G67-03,13,Rs.226.00,0,0,Rs.0.00
1030,Water Seal (16mm),3G67-04,16,Rs.331.00,0,0,Rs.0.00
1031,Water Seal (18mm),3G67-05,18,Rs.181.00,0,0,Rs.0.00
1032,Capacitor 1.5 UF (Box) Wire,3G68-01,1.5,Rs.105.00,612,9,"Rs.65,520.00"
1033,Capacitor 2 UF (Box) Wire,3G68-02,2,Rs.136.00,701,16,"Rs.96,968.00"
1034,Capacitor 2.25 UF (Box) Wire,3G68-03,2.25,Rs.70.00,0,0,Rs.0.00
1035,Capacitor 2.5 UF (Box) Wire,3G68-04,2.5,Rs.142.00,0,0,Rs.0.00
1036,Capacitor 3 UF (Box) Wire,3G68-05,3,Rs.170.00,72,9,"Rs.10,880.00"
1037,Capacitor 3.5 UF (Box) Wire,3G68-06,3.5,Rs.170.00,0,0,Rs.0.00
1038,Capacitor 1.5 UF (Box) Pin Type,3G68-07,1.5,Rs.105.00,806,0,"Rs.76,545.00"
1039,Capacitor 2 UF (Box) Pin Type,3G68-08,2,Rs.136.00,780,0,"Rs.105,536.00"
1040,Capacitor 2.5 UF (Box) Pin Type,3G68-09,2.5,Rs.142.00,524,0,"Rs.70,574.00"
1041,Indian Capacitor 2.5 UF (Barel) Wire,3G69-01,2.5,Rs.155.00,0,0,Rs.0.00
1042,Capacitor 2.25 UF (Barel) Wire,3G69-02,2.25,Rs.70.00,0,0,Rs.0.00
1043,Capacitor 2.5 UF (Barel) Wire,3G69-03,2.5,Rs.150.00,0,3,"Rs.5,100.00"
1044,Capacitor 3 UF (Barel) Wire,3G69-04,3,Rs.160.00,544,0,"Rs.94,400.00"
1045,Capacitor 3.15 UF (Barel) Wire,3G69-05,3.15,Rs.211.00,12,0,"Rs.4,220.00"
1046,Capacitor 3.5 UF (Barel) Wire,3G69-06,3.5,Rs.170.00,142,6,"Rs.26,860.00"
1047,Capacitor 10 UF (Barel) Wire,3G69-07,10,Rs.299.00,242,9,"Rs.40,365.00"
1048,Capacitor 12 UF (Barel) Wire,3G69-08,12,Rs.368.00,115,6,"Rs.46,736.00"
1049,Capacitor 12.5 UF (Barel) Wire,3G69-09,12.5,Rs.341.00,0,3,"Rs.6,820.00"
1050,Capacitor 14 UF (Barel) Wire,3G69-10,14,Rs.400.00,353,6,"Rs.139,600.00"
1051,Capacitor 15 UF (Barel) Wire,3G69-11,15,Rs.291.00,0,0,Rs.0.00
1052,Capacitor 16 UF (Barel) Wire,3G69-12,16,Rs.425.00,238,23,"Rs.192,100.00"
1053,Capacitor 20 UF (Barel) Wire,3G69-13,20,Rs.472.00,0,22,"Rs.45,784.00"
1054,Capacitor 25 UF (Barel) Wire,3G69-14,25,Rs.535.00,367,6,"Rs.228,445.00"
1055,Capacitor 30 UF (Barel) Wire,3G69-15,30,Rs.620.00,0,6,"Rs.11,780.00"
1056,Capacitor 35 UF (Barel) Wire,3G69-16,35,Rs.665.00,0,0,"Rs.18,620.00"
1057,Capacitor 36 UF (Barel) Wire,3G69-17,36,Rs.609.00,0,0,"Rs.6,699.00"
1058,Capacitor 40 UF (Barel) Wire,3G69-18,40,Rs.685.00,0,0,"Rs.19,180.00"
1059,Capacitor 45 UF (Barel) Wire,3G69-19,45,Rs.730.00,0,0,"Rs.15,330.00"
1060,Capacitor 50 UF (Barel) Wire,3G69-20,50,Rs.780.00,0,0,Rs.0.00
1061,Capacitor 60 UF (Barel) Wire,3G69-21,60,Rs.788.00,0,0,"Rs.7,880.00"
1062,Capacitor 200 UF (Barel) Wire,3G69-22,100,Rs.800.00,0,0,"Rs.4,000.00"
1063,Capacitor 250 UF (Barel) Wire,3G69-23,150,Rs.835.00,0,0,Rs.0.00
1064,Capacitor 300 UF (Barel) Wire,3G69-24,200,Rs.885.00,0,0,"Rs.6,195.00"
1065,Capacitor 350 UF (Barel) Wire,3G69-25,250,Rs.892.00,2,0,"Rs.8,028.00"
1066,Capacitor 400 UF (Barel) Wire,3G69-26,300,Rs.934.00,0,0,"Rs.10,274.00"
1067,Capacitor 10 UF (Barel) Pin Type,3G69-27,10,Rs.310.00,0,0,Rs.0.00
1068,Capacitor 12 UF (Barel) Pin Type,3G69-28,12,Rs.368.00,0,0,Rs.0.00
1069,Capacitor 16 UF (Barel) Pin Type,3G69-29,16,Rs.415.00,242,0,"Rs.102,505.00"
1070,Capacitor 20 UF (Barel) Pin Type,3G69-30,20,Rs.472.00,120,3,"Rs.68,912.00"
1071,Capacitor 25 UF (Barel) Pin Type,3G69-31,25,Rs.535.00,304,0,"Rs.167,455.00"
1072,Capacitor 30 UF (Barel) Pin Type,3G69-32,30,Rs.620.00,0,0,"Rs.6,200.00"
1073,Capacitor 40 UF (Barel) Pin Type,3G69-33,40,Rs.682.00,0,0,Rs.682.00
1074,Capacitor 60 UF (Barel) Pin Type,3G69-34,60,Rs.788.00,2,0,Rs.0.00
1075,Cable Tie (White) 100 mm,3G70-01,70,Rs.50.00,6426,2,"Rs.323,650.00"
1076,Cable Tie (White) 150 mm,3G70-02,80,Rs.85.00,5772,14,"Rs.491,640.00"
1077,Cable Tie (White) 200 mm,3G70-03,200,Rs.155.00,3625,14,"Rs.576,600.00"
1078,Cable Tie (White) 250 mm,3G70-04,250,Rs.198.00,1445,14,"Rs.285,714.00"
1079,Cable Tie (White) 300 mm,3G70-05,300,Rs.280.00,955,14,"Rs.266,840.00"
1080,Cable Tie (Black) 100 mm,3G70-06,70,Rs.50.00,1847,2,"Rs.93,200.00"
1081,Cable Tie (Black) 150 mm,3G70-07,80,Rs.85.00,1961,17,"Rs.170,085.00"
1082,Cable Tie (Black) 200 mm,3G70-08,200,Rs.155.00,1286,17,"Rs.199,330.00"
1083,Cable Tie (Black) 250 mm,3G70-09,250,Rs.198.00,1274,16,"Rs.251,064.00"
1084,Cable Tie (Black) 300 mm,3G70-10,300,Rs.280.00,753,29,"Rs.210,560.00"
1085,Bearing 606,3G71-01,606,Rs.60.00,980,24,"Rs.61,200.00"
1086,Bearing 607,3G71-02,607,Rs.60.00,0,0,"Rs.3,600.00"
1087,Bearing 608,3G71-03,608,Rs.60.00,0,24,"Rs.4,800.00"
1088,Bearing 626,3G71-04,626,Rs.60.00,730,24,"Rs.46,200.00"
1089,Bearing 627,3G71-05,627,Rs.65.00,890,0,"Rs.59,670.00"
1090,Bearing 628,3G71-06,628,Rs.65.00,1000,24,"Rs.72,150.00"
1091,Bearing 629,3G71-07,629,Rs.65.00,0,0,Rs.0.00
1092,Bearing 6000,3G71-08,6000,Rs.150.00,2735,0,"Rs.412,650.00"
1093,Bearing 6001,3G71-09,6001,Rs.150.00,0,0,"Rs.7,200.00"
1094,Bearing 6002,3G71-10,6002,Rs.165.00,1930,0,"Rs.320,760.00"
1095,Bearing 6003,3G71-11,6003,Rs.195.00,1824,0,"Rs.357,630.00"
1096,Bearing 6004,3G71-12,6004,Rs.250.00,998,0,"Rs.264,000.00"
1097,Bearing 6200,3G71-13,6200,Rs.145.00,1282,0,"Rs.194,300.00"
1098,Bearing 6201,3G71-14,6201,Rs.160.00,500,22,"Rs.78,880.00"
1099,Bearing 6202,3G71-15,6202,Rs.180.00,0,0,Rs.0.00
1100,Bearing 6203,3G71-16,6203,Rs.225.00,629,22,"Rs.161,775.00"
1101,Bearing 6204,3G71-17,6204,Rs.275.00,198,40,"Rs.67,925.00"
1102,Bearing 6205,3G71-18,6205,Rs.310.00,293,0,"Rs.98,580.00"
1103,Bearing 6206,3G71-19,6206,Rs.418.00,114,0,"Rs.47,652.00"
1104,Bearing 6300,3G71-20,6300,Rs.210.00,1113,0,"Rs.245,490.00"
1105,Bearing 6301,3G71-21,6301,Rs.180.00,1743,0,"Rs.322,920.00"
1106,Bearing 6302,3G71-22,6302,Rs.225.00,1216,0,"Rs.263,925.00"
1107,Bearing 6303,3G71-23,6303,Rs.295.00,790,0,"Rs.263,435.00"
1108,Bearing 6304,3G71-24,6304,Rs.320.00,733,0,"Rs.300,800.00"
1109,Safety Helmat (Made In China),3G72-01,0,Rs.490.00,0,0,Rs.0.00
1110,Safety Helmat (Dingqi),3G72-02,0,Rs.412.00,0,0,Rs.0.00
1111,Mounted Grinding Point (5 Pcs Set),3G73-01,0,Rs.472.00,0,0,Rs.0.00
1112,Mounted Grinding Point (10 Pcs Set),3G73-02,0,Rs.560.00,0,0,Rs.0.00
1113,Glass Cutter (No - 1),2H53-07,0,Rs.878.00,0,0,Rs.0.00
1114,Glass Cutter (Oil),2H53-06,0,Rs.800.00,0,0,Rs.0.00
1118,Carbon Brush 50,3G75-01,50,Rs.126.00,2056,3,"Rs.255,402.00"
1119,Carbon Brush 51,3G75-02,51,Rs.126.00,1624,3,"Rs.208,656.00"
1120,Carbon Brush 52,3G75-03,52,Rs.126.00,1611,3,"Rs.204,120.00"
1121,Carbon Brush 54,3G75-04,54,Rs.126.00,1972,3,"Rs.238,896.00"
1122,Carbon Brush 56,3G75-05,56,Rs.126.00,1737,3,"Rs.321,048.00"
1123,Carbon Brush 64,3G75-06,64,Rs.126.00,1627,3,"Rs.203,616.00"
1124,Carbon Brush 101,3G75-07,101,Rs.126.00,566,3,"Rs.69,048.00"
1125,Carbon Brush 152,3G75-08,152,Rs.126.00,688,3,"Rs.84,168.00"
1126,Carbon Brush 153,3G75-09,153,Rs.126.00,592,3,"Rs.88,704.00"
1127,Carbon Brush 303,3G75-10,303,Rs.126.00,280,3,"Rs.25,200.00"
1128,Carbon Brush 408,3G75-11,408,Rs.126.00,616,3,"Rs.77,112.00"
1129,Carbon Brush 411,3G75-12,411,Rs.126.00,136,3,"Rs.19,152.00"
1130,Carbon Brush 419,3G75-13,419,Rs.126.00,2088,3,"Rs.262,080.00"
1131,Dot Gloves (Cloth),3G76-01,0,Rs.85.00,0,0,Rs.0.00
1132,Cotton Gloves (Rubber Coated Palm) Blue,3G76-02,0,Rs.137.00,36,0,Rs.0.00
1133,PVC Mosquito Mesh (Black) 1X25m,3G77-01,0,"Rs.5,512.00",0,0,Rs.0.00
1134,PVC Mosquito Mesh (Brown) 1X25m,3G77-02,0,"Rs.9,188.00",0,0,Rs.0.00
1135,PVC Mosquito Mesh (Green) 1X25m,3G77-03,0,"Rs.6,900.00",0,0,Rs.0.00
1136,PVC Mosquito Mesh (Green) 1.2mX25m,3G77-04,0,"Rs.8,130.00",0,0,Rs.0.00
1137,Mosquito Mesh (Blue) 0.9mX30m,3G77-05,30,"Rs.1,980.00",4,20,"Rs.39,600.00"
1138,Mosquito Mesh (Green) 0.9mX30m,3G77-06,30,"Rs.2,480.00",0,0,Rs.0.00
1139,Welded Mesh (Courted) 1mX15m (1/2X1/2),3G78-01,15,"Rs.9,375.00",2,0,Rs.0.00
1140,Welded Mesh (Courted) 1mX30m (1/2X1/2),3G78-02,30,"Rs.12,815.00",0,0,Rs.0.00
1141,Welded Mesh (GI) 1mX30m (1/2X1/2),3G78-03,30,"Rs.14,558.00",0,0,Rs.0.00
1142,Welded Mesh (GI) 1mX15m (1/2X1/2),3G78-04,15,"Rs.9,287.00",0,0,Rs.0.00
1143,Shading Net (Black) 2mX100m,3G79-01,0,"Rs.13,750.00",0,0,Rs.0.00
1144,Green Mesh - 50m,3G79-02,50,"Rs.6,917.00",0,0,Rs.0.00
1145,Tarpaulin Roll 8 Feet (Blue & Silver),3G80-01,0,"Rs.15,900.00",6,0,Rs.0.00
1146,Curtain Wire (100 Feet) 30m,3G57-02,0,"Rs.1,290.00",239,16,"Rs.305,730.00"
1147,Curtain Hooks,3G57-03,0,Rs.677.00,0,0,Rs.0.00
1148,Kitchen Sink Stainless Steel 18 X 36 - Right,3G81-01,36,"Rs.4,980.00",0,0,Rs.0.00
1149,Kitchen Sink Stainless Steel 18 X 36 - Left,3G81-02,36,"Rs.4,980.00",0,0,Rs.0.00
1150,Kitchen Sink Stainless Steel 17X 20 - Right,3G81-03,20,"Rs.3,790.00",0,0,Rs.0.00
1151,Kitchen Sink Stainless Steel 17X 20 - Left,3G81-04,20,"Rs.3,790.00",0,0,Rs.0.00
1152,Garden Tap (Nical) 1/2 Inch,4S01-01,02-Jan,Rs.750.00,12,0,"Rs.20,250.00"
1153,Garden Tap Nical (Letimat) 1/2 Inch,4S01-02,02-Jan,Rs.543.00,0,0,Rs.0.00
1154,Garden Tap  (Venus Brass) 1/2 Inch,4S01-03,02-Jan,Rs.850.00,17,6,"Rs.22,100.00"
1155,Garden Tap ( Y-King Brass) 1/2 Inch,4S01-04,02-Jan,Rs.652.00,0,0,Rs.0.00
1156,Garden Tap (Brass) 1/2 Inch,4S01-05,02-Jan,Rs.990.00,218,0,"Rs.245,520.00"
1157,Garden Tap ( ABS - Hevy ),4S01-06,0,Rs.200.00,0,0,Rs.0.00
1158,Garden Tap ( ABS - Cristal ),4S01-07,0,Rs.255.00,0,0,Rs.0.00
1159,Garden Tap ( ABS ),4S01-08,0,Rs.125.00,0,0,Rs.0.00
1160,Bip Tap (A.B.S),4S02-01,0,Rs.125.00,0,0,Rs.500.00
1161,Bip Tap (POLO - ABS) Long Body - Lever,4S02-02,0,Rs.310.00,315,6,"Rs.101,370.00"
1162,Bip Tap Nical (Long Body) 1/2 Inch,4S02-03,02-Jan,Rs.700.00,0,0,Rs.0.00
1163,Bip Tap Nical (Long Body) Lever Type 1/2 Inch,4S02-04,02-Jan,Rs.980.00,0,0,Rs.0.00
1164,Bip Tap (ABS-Cristal),4S02-05,0,Rs.195.00,0,0,Rs.0.00
1165,Bip Tap (ABS-Titan),4S02-06,0,Rs.146.00,0,0,Rs.0.00
1166,Bip Tap ( Range ) ABS,4S02-07,0,Rs.250.00,639,12,"Rs.167,750.00"
1167,Sink Tap (Classic) Nical,4S03-01,0,"Rs.2,580.00",0,0,Rs.0.00
1168,Sink Tap (Classic) Mat,4S03-02,0,"Rs.2,580.00",0,0,Rs.0.00
1169,Sink Tap (Venus) Nical,4S03-03,0,Rs.899.00,0,0,Rs.0.00
1170,Sink Tap (NBT-Nical) Lever Type,4S03-04,0,"Rs.1,396.00",0,0,Rs.0.00
1171,Sink Tap (ABS) - Round,4S03-05,0,Rs.520.00,0,0,Rs.0.00
1172,Sink Tap ABS (Fishdi) Round,4S03-06,0,Rs.575.00,0,0,Rs.0.00
1173,Sink Tap ABS (Ever Pro) Card,4S03-07,0,Rs.585.00,1007,250,"Rs.628,875.00"
1174,Sink Tap (ABS) - Lever Type,4S03-08,0,Rs.520.00,0,0,Rs.0.00
1175,Basin Tap ( Range ) ABS,4S04-01,0,Rs.440.00,167,14,"Rs.100,320.00"
1176,Basin Tap (ABS),4S04-02,0,Rs.590.00,0,0,Rs.0.00
1177,Basin Tap (ABS) Nical Head,4S04-03,0,Rs.361.00,0,0,Rs.0.00
1178,Angle Valve (ABS) Large,4S05-01,0,Rs.195.00,0,0,Rs.0.00
1179,Angle Valve (ABS) Small,4S05-02,0,Rs.191.00,0,0,Rs.0.00
1180,Angle Valve (Amanni) Small 1/2 Inch,4S05-03,02-Jan,Rs.395.00,0,12,"Rs.12,640.00"
1181,Angle Valve (Amanni-Classic) 1/2 Inch,4S05-04,02-Jan,Rs.392.00,0,0,Rs.0.00
1182,Angle Valve (Kmrya) Lever Type,4S05-05,0,Rs.834.00,0,0,Rs.0.00
1183,Angle Valve (High End) 1/2 Inch,4S05-06,02-Jan,Rs.662.00,0,0,Rs.0.00
1184,Angle Valve (NBT) 1/2 Inch (Prime),4S05-07,02-Jan,Rs.450.00,0,0,Rs.0.00
1185,Bip Tap (Everpro) Lever Type (1/2 Inch),4S06-01,02-Jan,"Rs.1,390.00",179,0,"Rs.286,340.00"
1186,Basin Tap (Everpro) Lever Type (1/2 Inch),4S06-02,02-Jan,"Rs.1,790.00",196,0,"Rs.390,220.00"
1187,Angle Valve (Everpro) Lever Type (1/2 Inch),4S06-03,02-Jan,"Rs.1,050.00",534,0,"Rs.640,500.00"
1188,Consil Valve (Everpro) Lever Type (1/2 Inch),4S06-04,02-Jan,"Rs.2,260.00",214,2,"Rs.470,080.00"
1189,Biddy Spray Set (Everpro),4S06-05,0,Rs.372.00,60,0,Rs.0.00
1190,Sink Tap (Ever Pro) Lever Type,4S06-06,0,"Rs.1,690.00",418,12,"Rs.697,970.00"
1191,Bip Tap ( Top Man) Lever Type (1/2 Inch),4S07-01,02-Jan,"Rs.1,774.00",2,0,Rs.0.00
1192,Basin Tap ( Top Man) Lever Type (1/2 Inch),4S07-02,02-Jan,"Rs.1,500.00",0,0,Rs.0.00
1193,Angle Valve ( Top Man) Lever Type (L),4S07-03,0,"Rs.1,350.00",0,0,Rs.0.00
1194,Consil Valve ( Top Man) Lever Type (1/2 Inch),4S07-04,02-Jan,"Rs.2,919.00",0,0,Rs.0.00
1195,Angle Valve ( Top Man) Square Head (Small),4S07-05,0,Rs.895.00,1,0,"Rs.24,165.00"
1196,Sink Tap ( Top Man) Lever Type,4S07-06,0,"Rs.1,820.00",274,0,"Rs.489,580.00"
1197,Bip Tap ( Top Man) Round Head (1/2 Inch),4S07-07,02-Jan,Rs.944.00,0,0,Rs.0.00
1198,Basin Tap ( Top Man) Round Head (1/2 Inch),4S07-08,02-Jan,"Rs.1,085.00",0,0,Rs.0.00
1199,Angle Valve ( Top Man) Round Head (L),4S07-09,0,Rs.919.00,0,0,Rs.0.00
1200,Angle Valve ( Top Man) Round Head (Small),4S07-10,0,Rs.442.00,0,0,Rs.0.00
1201,Consil Valve ( Top Man) Round Head (1/2 Inch),4S07-11,02-Jan,"Rs.1,125.00",0,0,Rs.0.00
1202,Bip Tap ( Rapsel) Full Brass,4S08-01,0,"Rs.2,494.00",2,0,Rs.0.00
1203,Basin Tap ( Rapsel) Full Brass,4S08-02,0,"Rs.5,744.00",0,0,Rs.0.00
1204,Angle Valve ( Rapsel) Full Brass,4S08-03,0,"Rs.3,108.00",0,0,"Rs.55,944.00"
1205,Consil Valve ( Rapsel) Full Brass,4S08-04,0,"Rs.3,930.00",0,0,Rs.0.00
1206,Biddy Spray Set ( Rapsel),4S08-05,0,"Rs.2,700.00",56,0,"Rs.151,200.00"
1207,Sink Tap ( Rapsel) Full Brass Lever Type,4S08-06,0,"Rs.3,098.00",0,0,Rs.0.00
1208,Sink West (S/S) 1 1/2 Inch,4S09-01,1 1/2,Rs.125.00,69,73,"Rs.28,750.00"
1209,Basin West (Pop-Up) 1 1/4 Inch,4S10-01,1 1/4,Rs.880.00,65,19,"Rs.68,640.00"
1210,Basin West (Normal) 1 1/4 Inch,4S10-02,1 1/4,Rs.675.00,189,6,"Rs.137,025.00"
1211,Basin West (ABS-Push) Full Thread Unslotted  1 1/4 Inch,4S10-03,1 1/4,Rs.495.00,0,0,Rs.0.00
1212,Basin West (Nical-Push) Full Thread Unslot 1 1/4 Inch,4S10-04,1 1/4,"Rs.1,150.00",0,0,"Rs.3,450.00"
1213,Gully Box S/S (Regular) 4X4 Inch,4S11-01,4,Rs.312.00,0,0,Rs.0.00
1214,Gully Box PVC (Regular) 4X4 Inch,4S11-02,4,Rs.178.00,0,0,Rs.0.00
1215,Gully Box S/S (Regular) 6X6 Inch,4S11-03,6,Rs.595.00,261,9,"Rs.192,780.00"
1216,Gully Box S/S (Pop-Up) 6X6 Inch,4S11-04,6,Rs.860.00,116,6,"Rs.150,500.00"
1217,Gully Cover S/S 6X6,4S11-05,6,Rs.340.00,0,0,Rs.0.00
1218,Gully Cover ( Polo ) S/S 6X6,4S11-06,6,Rs.340.00,723,23,"Rs.243,780.00"
1219,Shower (A.B.S) With Arm,4S12-01,0,Rs.462.00,0,0,Rs.0.00
1220,Shower Made In Sri Lanka (A.B.S) 3/4 Inch (L),4S12-02,04-Mar,Rs.74.00,567,37,"Rs.40,996.00"
1221,Shower Made In Sri Lanka (A.B.S) 1/2 Inch (S),4S12-03,02-Jan,Rs.58.00,947,62,"Rs.54,172.00"
1222,Slim Squre Shower (Polo) ABS,4S12-04,0,Rs.377.00,0,0,Rs.0.00
1223,Deluxe Shower Overhead (Polo) ABS,4S12-05,0,Rs.420.00,0,0,Rs.0.00
1224,Waterlink Shower ABS (Square) 4 Inch,4S12-06,4,Rs.400.00,0,0,Rs.0.00
1225,Waterlink Shower ABS (Round) 4 Inch,4S12-07,4,Rs.400.00,0,0,Rs.0.00
1226,Jet Shower (Oscar),4S13-01,0,Rs.780.00,12,0,Rs.0.00
1227,Jet Shower (Oscar) Nical,4S13-02,0,Rs.410.00,0,0,Rs.0.00
1228,Shower Hevy S/S Square With Arm 6 Inch,4S13-03,6,Rs.890.00,0,3,"Rs.34,710.00"
1229,Shower Hevy S/S Square With Arm 8 Inch,4S13-04,8,"Rs.1,339.00",0,0,Rs.0.00
1230,Shower Hevy S/S Round With Box Arm 6 Inch,4S13-05,6,"Rs.1,186.00",0,0,Rs.0.00
1231,Sandwich Shower S/S With Arm 6X6 Inch,4S13-06,6,"Rs.1,911.00",0,0,Rs.0.00
1232,Sandwich Shower S/S With Arm 8X8 Inch,4S13-07,8,"Rs.2,278.00",0,0,Rs.0.00
1233,Shower (ASM) 625-2,4S13-08,0,Rs.890.00,0,0,Rs.0.00
1234,Bend Shower With ARM (Shine) 4 Inch,4S13-09,4,Rs.980.00,0,0,Rs.0.00
1235,Hand Shower (Furiq Bath) Square,4S14-01,0,"Rs.1,590.00",1,0,"Rs.1,590.00"
1236,Hand Shower (Fishdi) Round,4S14-02,0,Rs.980.00,4,0,Rs.0.00
