*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
779,Measuring Tape (Leather) 50 m,3G18-10,50,"Rs.1,090.00",11,0,Rs.0.00
780,Hole Saw Set (11Pcs),3G19-01,0,Rs.775.00,0,0,Rs.0.00
781,High Pressure Gun OEM,3G06-01,0,Rs.890.00,117,0,"Rs.128,160.00"
782,Air Pressure Gun With Meetar,3G06-02,0,"Rs.1,970.00",244,0,"Rs.476,740.00"
783,Air Duster Gun (3 Way),3G06-03,0,Rs.780.00,296,3,"Rs.219,960.00"
784,Rives Forwerd Switch 16AX415VX50HZ,3G20-01,0,"Rs.2,175.00",503,0,"Rs.1,087,500.00"
785,Drill Switch 10 mm,3G21-01,10,Rs.340.00,0,0,Rs.0.00
786,Drill Switch 13 mm,3G21-02,13,Rs.490.00,0,0,Rs.0.00
787,Grainder Switch,3G21-03,0,Rs.130.00,0,0,Rs.0.00
788,Router Switch,3G21-04,0,Rs.385.00,50,3,"Rs.48,125.00"
789,Gijsaw Switch,3G21-05,0,Rs.165.00,0,3,"Rs.1,650.00"
790,Cutoff Switch,3G21-06,0,Rs.452.00,0,0,Rs.0.00
791,Elctrict Floter Switch OEM,3G22-01,0,Rs.795.00,0,0,Rs.0.00
792,Radar Floter Switch ST - 70AB,3G22-02,0,Rs.890.00,0,0,Rs.0.00
793,Pad Lock (Lianqiu) 20mm,3G23-01,20,Rs.95.00,867,12,"Rs.105,260.00"
794,Pad Lock (Lianqiu) 25mm,3G23-02,25,Rs.110.00,48,24,"Rs.3,850.00"
795,Pad Lock (Lianqiu) 32mm,3G23-03,32,Rs.170.00,780,24,"Rs.163,540.00"
796,Pad Lock (Lianqiu) 38mm,3G23-04,38,Rs.195.00,12,12,"Rs.2,340.00"
797,Pad Lock (Lianqiu) 50mm,3G23-05,50,Rs.370.00,5141,42,"Rs.1,970,250.00"
798,Pad Lock (Lianqiu) 63mm,3G23-06,63,Rs.570.00,37,0,Rs.0.00
799,Pad Lock (Lianqiu) Long Arm 1 1/4 (32mm),3G23-07,32,Rs.257.00,1,0,Rs.0.00
800,Pad Lock (Lianqiu) Long Arm 1 1/2 (38mm),3G23-08,38,Rs.280.00,343,48,"Rs.106,400.00"
801,Pad Lock (Lianqiu) Long Arm 2 (50mm),3G23-09,50,Rs.390.00,9,0,Rs.0.00
802,Pad Lock (Shen Ji) 3/4 (20mm),3G23-10,20,Rs.58.00,0,0,Rs.0.00
803,Pad Lock (Shen Ji) 1 Inch (25mm),3G23-11,25,Rs.84.00,0,0,Rs.0.00
804,Pad Lock (Shen Ji) 1 1/4 Inch (32mm),3G23-12,32,Rs.107.00,0,0,Rs.0.00
805,Pad Lock (Shen Ji) 1 1/2 Inch (38mm),3G23-13,38,Rs.141.00,0,0,Rs.0.00
