#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Qty
89,Hammer Bit (Hilty) EHPL 16X350 mm,1P05-27,Power Tool Accessories,973,877,,0
90,Hammer Bit (Hilty) EHPL 18X350 mm,1P05-28,Power Tool Accessories,1195,1075,,0
91,Hammer Bit (Hilty) EHPL 20X350 mm,1P05-29,Power Tool Accessories,1336,1202,,440
92,Hammer Bit (Hilty) EHPL 22X350 mm,1P05-30,Power Tool Accessories,1450,1300,,0
93,Hammer Bit (Hilty) EHPL 25X350 mm,1P05-31,Power Tool Accessories,1580,1425,,0
94,Hammer Bit (Hilty) EHPL 16X450 mm,1P05-32,Power Tool Accessories,1155,1038,,80
95,Hammer Bit (Hilty) EHPL 18X450 mm,1P05-33,Power Tool Accessories,1556,1400,,200
96,Hammer Bit (Hilty) EHPL 20X450 mm,1P05-34,Power Tool Accessories,1970,1773,,50
97,Hammer Bit (Hilty)l EHPL 22X450 mm,1P05-35,Power Tool Accessories,2100,1890,,0
98,Hammer Bit (Hilty)l EHPL 25X450 mm,1P05-36,Power Tool Accessories,2320,2088,,0
99,Max Hammer Bit (Hilty) EHPL 22X800 mm,1P06-01,Power Tool Accessories,3880,3495,,10
100,Max Hammer Bit (Hilty) EHPL 25X800 mm,1P06-02,Power Tool Accessories,4375,3940,,0
101,Max Hammer Bit (Hilty) EHPL 22X600 mm,1P06-03,Power Tool Accessories,2800,2520,,0
102,Max Hammer Bit (Hilty) EHPL 25X600 mm,1P06-04,Power Tool Accessories,3390,3050,,0
103,Max Hammer Bit (Hilty) EHPL 18X600 mm,1P06-05,Power Tool Accessories,2590,1998,,0
104,Max Hammer Bit (Hilty) EHPL 18X450 mm,1P06-06,Power Tool Accessories,1800,1620,,0
105,Max Hammer Bit (Hilty) EHPL 20X450 mm,1P06-07,Power Tool Accessories,1800,1620,,0
106,Max Hammer Bit (Hilty) EHPL 22X450 mm,1P06-08,Power Tool Accessories,2100,1890,,0
107,Max Hammer Bit (Hilty) EHPL 25X450 mm,1P06-09,Power Tool Accessories,2700,2430,,0
108,Max Hammer Bit (Hilty) EHPL 18X800 mm,1P06-10,Power Tool Accessories,2870,2580,,40
109,Hammer Bit (Hilty) EHPL (S.D.S) 17X280 mm (Point),1P07-01,Power Tool Accessories,368,331,,0
