#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Unit Price,Qty
58,Concrete Bit EHPL 10 mm,1P04-06,Power Tool Accessories,125,113,, 72.80 ,76
59,Concrete Bit EHPL 12 mm,1P04-07,Power Tool Accessories,197.5,178,, 113.75 ,0
60,Concrete Bit EHPL 13 mm,1P04-08,Power Tool Accessories,290,265,, 236.00 ,339
61,Concrete Bit EHPL 14 mm,1P04-09,Power Tool Accessories,251,201,, 114.00 ,0
62,Concrete Bit EHPL 16 mm,1P04-10,Power Tool Accessories,287,211,, 152.00 ,0
63,Hammer Bit (Hilty) EHPL 6X110 mm,1P05-01,Power Tool Accessories,180,162,, 110.50 ,3
64,Hammer Bit (Hilty) EHPL 7X110 mm,1P05-02,Power Tool Accessories,185,166,, 119.00 ,233
65,Hammer Bit (Hilty) EHPL 8X110 mm,1P05-03,Power Tool Accessories,190,170,, 117.00 ,344
66,Hammer Bit (Hilty) EHPL 10X110 mm,1P05-04,Power Tool Accessories,341,307,, 142.50 ,610
67,Hammer Bit (Hilty) EHPL 6X160 mm,1P05-05,Power Tool Accessories,198,180,, 123.50 ,20
68,Hammer Bit (Hilty) EHPL 7X160 mm,1P05-06,Power Tool Accessories,312,281,, 143.00 ,121
69,Hammer Bit (Hilty) EHPL 8X160 mm,1P05-07,Power Tool Accessories,316,284,, 148.00 ,244
70,Hammer Bit (Hilty) EHPL 10X160 mm,1P05-08,Power Tool Accessories,337,303,, 156.00 ,0
71,Hammer Bit (Hilty) EHPL 12X160 mm,1P05-09,Power Tool Accessories,250,225,, 156.00 ,0
72,Hammer Bit (Hilty) EHPL 6X210 mm,1P05-10,Power Tool Accessories,147,110,, 70.00 ,0
73,Hammer Bit (Hilty) EHPL 7X210 mm,1P05-11,Power Tool Accessories,175,130,, 80.00 ,0
74,Hammer Bit (Hilty) EHPL 8X210 mm,1P05-12,Power Tool Accessories,195,141,, 140.00 ,0
75,Hammer Bit (Hilty) EHPL 10X210 mm,1P05-13,Power Tool Accessories,211,151,, 120.00 ,0
76,Hammer Bit (Hilty) EHPL 6X260 mm,1P05-14,Power Tool Accessories,296,266,, 190.00 ,620
77,Hammer Bit (Hilty) EHPL 7X260 mm,1P05-15,Power Tool Accessories,352,316,, 113.40 ,108
78,Hammer Bit (Hilty) EHPL 8X260 mm,1P05-16,Power Tool Accessories,407,365,, 209.00 ,282
79,Hammer Bit (Hilty) EHPL 10X260 mm,1P05-17,Power Tool Accessories,407,365,, 218.00 ,126
80,Hammer Bit (Hilty) EHPL 12X260 mm,1P05-18,Power Tool Accessories,420,380,, 260.00 ,0
81,Hammer Bit (Hilty) EHPL 13X260 mm,1P05-19,Power Tool Accessories,407,271,, 200.00 ,0
82,Hammer Bit (Hilty) EHPL 14X260 mm,1P05-20,Power Tool Accessories,480,435,, 299.00 ,0
83,Hammer Bit (Hilty) EHPL 16X260 mm,1P05-21,Power Tool Accessories,565,510,, 351.00 ,0
84,Hammer Bit (Hilty) EHPL 18X260 mm,1P05-22,Power Tool Accessories,850,765,, 455.00 ,13
85,Hammer Bit (Hilty) EHPL 20X260 mm,1P05-23,Power Tool Accessories,1365,1228,, 476.00 ,113
86,Hammer Bit (Hilty) EHPL 22X260 mm,1P05-24,Power Tool Accessories,1750,1575,, 550.00 ,64
87,Hammer Bit (Hilty) EHPL 25X260 mm,1P05-25,Power Tool Accessories,1350,1215,, 793.00 ,37
88,Hammer Bit (Hilty) EHPL 14X350 mm,1P05-26,Power Tool Accessories,595,535,, 370.50 ,0
89,Hammer Bit (Hilty) EHPL 16X350 mm,1P05-27,Power Tool Accessories,973,877,, 437.00 ,1
90,Hammer Bit (Hilty) EHPL 18X350 mm,1P05-28,Power Tool Accessories,1195,1075,, 297.00 ,2
91,Hammer Bit (Hilty) EHPL 20X350 mm,1P05-29,Power Tool Accessories,1336,1202,, 655.00 ,447
92,Hammer Bit (Hilty) EHPL 22X350 mm,1P05-30,Power Tool Accessories,1450,1300,, 767.00 ,6
93,Hammer Bit (Hilty) EHPL 25X350 mm,1P05-31,Power Tool Accessories,1580,1425,, 929.50 ,11
94,Hammer Bit (Hilty) EHPL 16X450 mm,1P05-32,Power Tool Accessories,1155,1038,, 560.00 ,115
95,Hammer Bit (Hilty) EHPL 18X450 mm,1P05-33,Power Tool Accessories,1556,1400,, 875.00 ,240
96,Hammer Bit (Hilty) EHPL 20X450 mm,1P05-34,Power Tool Accessories,1970,1773,, 910.00 ,58
97,Hammer Bit (Hilty)l EHPL 22X450 mm,1P05-35,Power Tool Accessories,2100,1890,, 949.00 ,0
98,Hammer Bit (Hilty)l EHPL 25X450 mm,1P05-36,Power Tool Accessories,2320,2088,," 1,170.00 ",0
99,Max Hammer Bit (Hilty) EHPL 22X800 mm,1P06-01,Power Tool Accessories,3880,3495,," 2,288.00 ",9
100,Max Hammer Bit (Hilty) EHPL 25X800 mm,1P06-02,Power Tool Accessories,4375,3940,," 2,574.00 ",0
101,Max Hammer Bit (Hilty) EHPL 22X600 mm,1P06-03,Power Tool Accessories,2800,2520,," 1,651.00 ",3
102,Max Hammer Bit (Hilty) EHPL 25X600 mm,1P06-04,Power Tool Accessories,3390,3050,," 1,995.50 ",0
103,Max Hammer Bit (Hilty) EHPL 18X600 mm,1P06-05,Power Tool Accessories,2590,1998,," 1,365.00 ",14
104,Max Hammer Bit (Hilty) EHPL 18X450 mm,1P06-06,Power Tool Accessories,1800,1620,," 1,079.00 ",5
105,Max Hammer Bit (Hilty) EHPL 20X450 mm,1P06-07,Power Tool Accessories,1800,1620,," 1,196.00 ",11
106,Max Hammer Bit (Hilty) EHPL 22X450 mm,1P06-08,Power Tool Accessories,2100,1890,," 1,365.00 ",11
107,Max Hammer Bit (Hilty) EHPL 25X450 mm,1P06-09,Power Tool Accessories,2700,2430,," 1,586.00 ",1
108,Max Hammer Bit (Hilty) EHPL 18X800 mm,1P06-10,Power Tool Accessories,2870,2580,," 1,911.00 ",41
109,Hammer Bit (Hilty) EHPL (S.D.S) 17X280 mm (Point),1P07-01,Power Tool Accessories,368,331,, 176.00 ,0
110,Hammer Bit (Hilty) EHPL (S.D.S) 14X250 mm (Flat),1P07-02,Power Tool Accessories,370,335,, 161.00 ,282
111,Hammer Bit (Hilty) EHPL (S.D.S) 14X250 mm (Point),1P07-03,Power Tool Accessories,370,335,, 161.00 ,220
112,HSS Hall Saw Bit (EHPL)16 mm,1P08-01,Power Tool Accessories,378,340,, 157.50 ,0
113,HSS Hall Saw Bit (EHPL)18 mm,1P08-02,Power Tool Accessories,399,359,, 172.50 ,5
114,HSS Hall Saw Bit (EHPL)19 mm,1P08-03,Power Tool Accessories,410,369,, 187.50 ,35
115,HSS Hall Saw Bit (EHPL) 20 mm,1P08-04,Power Tool Accessories,430,387,, 195.00 ,1
116,HSS Hall Saw Bit (EHPL) 22 mm,1P08-05,Power Tool Accessories,472,425,, 217.50 ,0
117,HSS Hall Saw Bit (EHPL) 25 mm,1P08-06,Power Tool Accessories,514,463,, 247.50 ,0
118,HSS Hall Saw Bit (EHPL) 28 mm,1P08-07,Power Tool Accessories,640,578,, 270.00 ,81
119,HSS Hall Saw Bit (EHPL) 30 mm,1P08-08,Power Tool Accessories,835,751,, 292.50 ,59
120,HSS Hall Saw Bit (EHPL) 32 mm,1P08-09,Power Tool Accessories,872,784,, 315.00 ,62
121,HSS Hall Saw Bit (EHPL) 35 mm,1P08-10,Power Tool Accessories,729,704,, 346.00 ,0
122,HSS Hall Saw Bit (EHPL) 40 mm,1P08-11,Power Tool Accessories,854,753,, 395.00 ,0
123,HSS Hall Saw Bit (EHPL) 45 mm,1P08-12,Power Tool Accessories,1155,903,, 445.00 ,0
124,HSS Hall Saw Bit (EHPL) 50 mm,1P08-13,Power Tool Accessories,1285,954,, 495.00 ,0
125,Glass & Tile Diamond Drill Bit 5 mm,1P09-01,Power Tool Accessories,121,109,, 60.00 ,0
126,Glass & Tile Diamond Drill Bit 6 mm,1P09-02,Power Tool Accessories,116,105,, 45.00 ,0
127,Glass & Tile Diamond Drill Bit 7 mm,1P09-03,Power Tool Accessories,121,109,, 80.00 ,0
128,Glass & Tile Diamond Drill Bit 8 mm,1P09-04,Power Tool Accessories,147,132,, 54.00 ,7
129,Glass & Tile Diamond Drill Bit 10 mm,1P09-05,Power Tool Accessories,168,151,, 60.00 ,0
130,Glass & Tile Diamond Drill Bit 12 mm,1P09-06,Power Tool Accessories,178,161,, 67.50 ,0
131,Glass & Tile Diamond Drill Bit 14 mm,1P09-07,Power Tool Accessories,200,180,, 86.25 ,109
132,Glass & Tile Diamond Drill Bit 15 mm,1P09-08,Power Tool Accessories,226,206,, 150.00 ,0
133,Glass & Tile Diamond Drill Bit 16 mm,1P09-09,Power Tool Accessories,284,255,, 93.75 ,0
134,Glass & Tile Diamond Drill Bit 17 mm,1P09-10,Power Tool Accessories,276,249,, 180.00 ,0
135,Glass & Tile Diamond Drill Bit 18 mm,1P09-11,Power Tool Accessories,294,265,, 101.25 ,1
136,Glass & Tile Diamond Drill Bit 20 mm,1P09-12,Power Tool Accessories,378,340,, 108.75 ,0
137,Glass & Tile Diamond Drill Bit 22 mm,1P09-13,Power Tool Accessories,410,369,, 116.25 ,0
138,Glass & Tile Diamond Drill Bit 25 mm,1P09-14,Power Tool Accessories,446,401,, 127.50 ,0
139,Flat Wood Bit 18 mm,1P10-01,Power Tool Accessories,90,61,, 42.00 ,0
140,Flat Wood Bit 20 mm,1P10-02,Power Tool Accessories,96,65,, 45.00 ,0
141,Flat Wood Bit 22 mm,1P10-03,Power Tool Accessories,110,70,, 55.00 ,0
142,Flat Wood Bit 25 mm,1P10-04,Power Tool Accessories,116,80,, 55.00 ,0
143,Flat Wood Bit 32 mm,1P10-05,Power Tool Accessories,175,158,, 90.00 ,0
144,Grinding Wheel EHPL 4 Inch ( 105X6X16 mm),1P11-01,Power Tool Accessories,150,135,, 104.00 ,4512
145,Grinding Wheel EHPL 4 1/2 Inch ( 115X6X22 mm),1P11-02,Power Tool Accessories,200,180,, 147.00 ,5511
146,Grinding Wheel EHPL 7 Inch ( 180X6.0X22 mm),1P11-03,Power Tool Accessories,211,166,, 148.00 ,0
147,Cutting Wheel EHPL 4 Inch ( 105X1.2X16 mm),1P12-01,Power Tool Accessories,55,49.5,, 40.50 ,89226
148,Cutting Wheel EHPL 4 1/2 Inch ( 115X1.2X22 mm),1P12-02,Power Tool Accessories,65,58.5,, 60.20 ,40024
149,Cutting Wheel EHPL 7 Inch ( 180X1.6X22 mm),1P12-03,Power Tool Accessories,141,130,, 96.00 ,0
150,Cutting Wheel EHPL 14 Inch ( 350X3X25.4 mm),1P12-04,Power Tool Accessories,550,550,, 416.00 ,0
151,Cutting Wheel Branca 4 Inch ( 105X1.2X16 mm),1P12-05,Power Tool Accessories,55.5,49.5,, 41.00 ,0
152,Cutting Wheel Branca 4 1/2 Inch ( 115X1.2X22.2 mm),1P12-06,Power Tool Accessories,58,51.5,, 43.00 ,0
153,Cup Diamond Wheel EHPL 4 Inch (105 mm),1P13-01,Power Tool Accessories,895,805,, 595.00 ,132
154,Cup Diamond Wheel EHPL 4 1/2 Inch (115 mm),1P13-02,Power Tool Accessories,1050,950,, 700.00 ,133
155,Cup Diamond Wheel (Bosun) 4 Inch,1P13-03,Power Tool Accessories,491,401,, 200.00 ,0
